site,STU_ToxC,log10_STU_ToxC,chemical_TU_PC1,chemical_TU_PC2,chemical_TU_PC3,MoA_TU_PC1,MoA_TU_PC2,MoA_TU_PC3,chemical_richness,dominant_chemical,dominant_chemical_TU,MoA_richness,dominant_MoA,dominant_MoA_TU,legacy_site,station_order,site_name,station_tag,exclude_from_expression_analysis
H1,2.4871475655119667e-4,-3.604298446741985,-13.696191854738807,1.6975740636467993,-3.767985974717777,-6.192062699389842,1.300173802771168,-0.6781098099459953,7,N-Ethyl-o-toluenesulfonamide,1.767456582722855e-4,2,unknown,2.3008223634808777e-4,,,,H1,TRUE
H2,0.00562382382828907,-2.2499682924690805,-11.020306822912108,0.9149704522375159,4.636130832702169,-4.022821841224961,-1.3866079604713175,1.4211486915932388,25,Myclobutanil,0.00395450885233303,8,Sterol biosynthesis inhibition,0.00395450885233303,HOL01,1,UPS Silstedt,H2,FALSE
H3,0.09306971711630688,-1.0311916061152244,5.988685320519853,-1.0930935111086366,-1.4616382185709116,2.5262966237948357,-1.0932327508016146,-0.31586699317857403,92,Fipronil,0.03011011203932069,15,Neuroactive,0.05787372054439377,HOL02,2,DS Silstedt,H3,FALSE
H4,0.03316155082179795,-1.47936516757893,2.8510898886327327,-3.9496155505051807,-1.0650333439163524,1.1697619522973761,-1.1946577275879566,-0.39924452617084893,80,Carbamazepine,0.01101088377309368,14,Neuroactive,0.01497307982466463,HOL03,3,Mahndorf,H4,FALSE
H5,0.03224049829618078,-1.4915982545341522,2.5174284640169007,-2.949741733493489,-1.6349966352055436,1.4046313092256524,-0.29461357440806973,-0.9958484617021504,78,Carbamazepine,0.01237219671453959,15,Neuroactive,0.0155045047683806,HOL04,4,UPS Halberstadt,H5,FALSE
H6,0.11108289462550328,-0.9543528118214564,8.756874589854847,8.137201445029529,0.05587511059901331,3.2082876208266193,1.5042082496394176,1.7945266012052115,109,Fipronil,0.03974326577396172,17,Neuroactive,0.0706423677641694,HOL05,5,DS Halberstadt,H6,FALSE
H7,0.06407805421749291,-1.193290684430621,4.602420414626588,-2.7572951658065437,3.2376482291094164,1.9059070344703193,1.1647299608583754,-0.8266055018008813,87,Fipronil,0.02219890342492969,15,Neuroactive,0.04093269771031556,HOL06,6,Nienhagen,H7,FALSE
